state,name,college_readiness_score,tested_ap,passed_ap,math_score,math_proficient,math_not_proficient,reading_score,reading_proficient,reading_not_proficient
Illinois,Grayville Cusd 1,N/A,N/A,N/A,2.2,33%,67%,2.4,44%,56%
Illinois,Greenfield Cusd 10,N/A,N/A,N/A,2.5,56%,44%,2.5,50%,50%
Illinois,Greenview Cusd 200,N/A,N/A,N/A,2.4,46%,54%,2.5,46%,54%
Illinois,Griggsville-Perry Cusd 4,N/A,N/A,N/A,2.4,43%,57%,2.7,54%,46%
Illinois,Grundy/Kendall Roe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Hall Hsd 502,N/A,N/A,N/A,2.5,48%,52%,2.5,57%,43%
Illinois,Hamilton Ccsd 328,N/A,N/A,N/A,2.5,58%,42%,2.7,64%,36%
Illinois,Hamilton Co Cusd 10,N/A,N/A,N/A,2.4,42%,58%,2.3,44%,56%
Illinois,Hamilton/Jefferson Roe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Hardin County Cusd 1,N/A,N/A,N/A,2.3,37%,63%,2.3,51%,49%
Illinois,Harlem Ud 122,13.3,19%,11.30%,2.6,58%,42%,2.5,52%,48%
Illinois,Harrisburg Cusd 3,N/A,N/A,N/A,2.3,40%,60%,2.6,57%,43%
Illinois,Hartsburg Emden Cusd 21,N/A,N/A,N/A,2.2,36%,64%,2.4,42%,58%
Illinois,Harvard Cusd 50,10.1,18%,7.50%,2.2,30%,70%,2.3,37%,63%
Illinois,Havana Cusd 126,N/A,N/A,N/A,2.5,55%,45%,2.8,66%,34%
Illinois,Henry-Senachwine Cusd 5,20.2,28%,17.50%,2.6,52%,48%,2.6,55%,45%
Illinois,Heritage Cusd 8,N/A,N/A,N/A,2.5,55%,45%,2.6,58%,42%
Illinois,Herrin Cusd 4,N/A,N/A,N/A,2.4,46%,54%,2.4,43%,57%
Illinois,Herscher Cusd 2,6.2,8%,5.40%,2.6,60%,40%,2.6,58%,42%
Illinois,Heyworth Cusd 4,11.1,25%,6.30%,2.6,62%,38%,2.7,58%,42%
Illinois,Hiawatha Cusd 426,N/A,N/A,N/A,2.5,43%,57%,2.5,57%,43%
Illinois,Highland Cusd 5,10,13%,9.00%,2.6,58%,42%,2.7,64%,36%
Illinois,Hillsboro Cusd 3,N/A,N/A,N/A,2.3,40%,60%,2.5,51%,49%
Illinois,Hinckley Big Rock Cusd 429,20.9,30%,18.00%,2.7,58%,42%,2.7,64%,36%
Illinois,Hinsdale Twp Hsd 86,49.6,56%,47.70%,3,80%,20%,3,80%,20%
Illinois,Homewood Flossmoor Chsd 233,32.4,38%,30.50%,2.5,52%,48%,2.6,53%,47%
Illinois,Hononegah Chd 207,28.9,35%,26.70%,2.9,75%,25%,2.8,69%,31%
Illinois,Hoopeston Area Cusd 11,N/A,N/A,N/A,2.3,46%,54%,2.4,41%,59%
Illinois,Hutsonville Cusd 1,N/A,N/A,N/A,2.2,32%,68%,2.4,40%,60%
Illinois,Il Mathematics & Science Academy,82.4,87%,80.80%,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Il Valley Central Usd 321,N/A,N/A,N/A,2.7,58%,42%,2.7,63%,37%
Illinois,Illini Bluffs Cusd 327,N/A,N/A,N/A,2.5,51%,49%,2.6,59%,41%
Illinois,Illini Central Cusd 189,N/A,N/A,N/A,2.4,39%,61%,2.6,51%,49%
Illinois,Illini West H S Dist 307,N/A,N/A,N/A,2.5,56%,44%,2.6,63%,37%
Illinois,Illinois School District U-46,17.2,25%,14.70%,2.5,50%,50%,2.4,45%,55%
Illinois,Indian Creek Cusd 425,N/A,N/A,N/A,2.7,67%,33%,2.7,58%,42%
Illinois,Indian Prairie School District,38.4,42%,37.10%,2.9,75%,25%,2.8,70%,30%
Illinois,Iroquois County Cusd 9,12.5,22%,9.50%,2.5,44%,56%,2.5,50%,50%
Illinois,Iroquois West Cusd 10,N/A,N/A,N/A,2.3,42%,58%,2.5,52%,48%
Illinois,Iroquois/Kankakee Roe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Isu Laboratory Schools,37.6,46%,34.70%,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,J S Morton Hsd 201,25.6,48%,18.30%,2.1,24%,76%,2.2,29%,71%
Illinois,Jacksonville Sd 117,6.1,9%,5.10%,2.4,44%,56%,2.5,50%,50%
Illinois,Jamaica Cusd 12,N/A,N/A,N/A,2.4,46%,54%,2.2,25%,75%
Illinois,Jasper County Cud 1,N/A,N/A,N/A,2.7,61%,39%,2.6,55%,45%
Illinois,Jersey Cusd 100,12.2,22%,8.90%,2.5,55%,45%,2.7,65%,35%
Illinois,Johnsburg Cusd 12,14.3,23%,11.50%,2.5,51%,49%,2.6,56%,44%
Illinois,Johnston City Cusd 1,N/A,N/A,N/A,2.4,44%,56%,2.5,52%,48%
Illinois,Joliet Twp Hsd 204,9.5,14%,7.90%,2.2,35%,65%,2.3,38%,62%
Illinois,Kaneland Cusd 302,9.5,13%,8.30%,2.6,60%,40%,2.6,55%,45%
Illinois,Kankakee Sd 111,10.4,24%,5.80%,2,22%,78%,2.2,30%,70%
Illinois,Kewanee Cusd 229,N/A,N/A,N/A,2.4,48%,52%,2.3,40%,60%
Illinois,Knoxville Cusd 202,N/A,N/A,N/A,2.4,45%,55%,2.5,53%,47%
Illinois,La Moille Cusd 303,N/A,N/A,N/A,2.4,46%,54%,2.5,54%,46%
Illinois,La Salle-Peru Twp Hsd 120,8.7,13%,7.30%,2.4,48%,52%,2.5,53%,47%
Illinois,Lake Forest Chsd 115,44.7,47%,44.10%,3.1,84%,16%,3,80%,20%
Illinois,Lake Park Chsd 108,30.9,34%,29.90%,2.8,72%,28%,2.7,67%,33%
Illinois,Lake Zurich Cusd 95,35,39%,33.80%,3,78%,22%,2.8,68%,32%
Illinois,Lawrence County Cud 20,N/A,N/A,N/A,2.4,44%,56%,2.5,44%,56%
Illinois,Lebanon Cusd 9,N/A,N/A,N/A,2.7,70%,30%,2.9,83%,17%
Illinois,Leland Cusd 1,N/A,N/A,N/A,1.9,8%,92%,2.3,33%,67%
Illinois,Lemont Twp Hsd 210,26.1,36%,22.90%,2.7,69%,31%,2.7,63%,37%
Illinois,Lena Winslow Cusd 202,N/A,N/A,N/A,2.5,56%,44%,2.5,53%,47%
Illinois,Leroy Cusd 2,N/A,N/A,N/A,2.5,52%,48%,2.5,53%,47%
Illinois,Lewistown Cusd 97,N/A,N/A,N/A,2.4,36%,64%,2.5,55%,45%
Illinois,Lexington Cusd 7,16.9,30%,12.50%,2.6,56%,44%,2.8,66%,34%
Illinois,Leyden Chsd 212,20.3,28%,17.90%,2.4,44%,56%,2.3,41%,59%
Illinois,Liberty Cusd 2,N/A,N/A,N/A,2.6,61%,39%,2.6,55%,45%
Illinois,Limestone Chsd 310,2.5,5%,1.70%,2.4,42%,58%,2.4,46%,54%
Illinois,Lincoln Chsd 404,4.9,7%,4.40%,2.4,42%,58%,2.5,50%,50%
Illinois,Lincoln Way Chsd 210,25.2,33%,22.60%,2.8,71%,29%,2.8,69%,31%
Illinois,Lincoln-Way Area Spec Ed Ja Dist,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Lisle Cusd 202,26.5,32%,24.50%,2.8,70%,30%,2.8,65%,35%
Illinois,Litchfield Cusd 12,N/A,N/A,N/A,2.4,48%,52%,2.6,55%,45%
Illinois,Lockport Twp Hsd 205,23.4,26%,22.50%,2.7,65%,35%,2.7,61%,39%
Illinois,Lowpoint-Washburn Cusd 21,N/A,N/A,N/A,2.4,48%,52%,2.4,48%,52%
Illinois,Lyons Twp Hsd 204,36.3,38%,35.90%,3,75%,25%,2.8,71%,29%
Illinois,Macomb Cusd 185,17.7,19%,17.30%,2.7,64%,36%,2.8,68%,32%
Illinois,Macon/Piatt Roe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Madison Cusd 12,N/A,N/A,N/A,2,16%,84%,2,20%,80%
Illinois,Mahomet-Seymour Cusd 3,22.6,27%,21.10%,2.9,73%,27%,2.8,68%,32%
Illinois,Maine Township Hsd 207,34.6,40%,32.60%,2.7,64%,36%,2.6,58%,42%
Illinois,Manteno Cusd 5,N/A,N/A,N/A,2.5,54%,46%,2.6,57%,43%
Illinois,Marengo Chsd 154,20.9,29%,18.10%,2.7,60%,40%,2.8,66%,34%
Illinois,Marion Cusd 2,13.3,24%,9.60%,2.5,50%,50%,2.5,52%,48%
Illinois,Marissa Cusd 40,N/A,N/A,N/A,2.5,54%,46%,2.5,56%,44%
Illinois,Maroa Forsyth Cusd 2,8.1,16%,5.60%,2.8,71%,29%,2.8,68%,32%
Illinois,Marshall Cusd 2C,N/A,N/A,N/A,2.5,57%,43%,2.5,52%,48%
Illinois,Martinsville Cusd 3C,N/A,N/A,N/A,2.4,39%,61%,2.4,39%,61%
Illinois,Mascoutah Cud 19,10.1,17%,7.90%,2.7,64%,36%,2.8,68%,32%
Illinois,Massac Ud 1,13.3,38%,5.00%,2.3,44%,56%,2.4,44%,56%
Illinois,Mattoon Cusd 2,N/A,N/A,N/A,2.5,47%,53%,2.5,47%,53%
Illinois,Mchenry Chsd 156,11.2,14%,10.30%,2.5,52%,48%,2.6,56%,44%
Illinois,Mclean County Usd 5,18.8,22%,17.70%,2.7,64%,36%,2.7,62%,38%
Illinois,Mendota Twp Hsd 280,N/A,N/A,N/A,2.6,57%,43%,2.6,59%,41%
Illinois,Mercer County School District 404,19,25%,17.00%,2.5,57%,43%,2.4,48%,52%
Illinois,Meredosia-Chambersburg Cusd 11,N/A,N/A,N/A,2.3,33%,67%,2.5,60%,40%
Illinois,Meridian Cusd 101,N/A,N/A,N/A,1.9,18%,82%,1.9,15%,85%
Illinois,Meridian Cusd 15,N/A,N/A,N/A,2.5,47%,53%,2.5,52%,48%
Illinois,Meridian Cusd 223,22.2,40%,16.10%,2.6,58%,42%,2.8,69%,31%
Illinois,Mid-Valley Special Ed Coop,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Midland Cusd 7,17.2,22%,15.60%,2.6,56%,44%,2.6,55%,45%
Illinois,Midwest Central Cusd 191,7.4,16%,4.40%,2.4,42%,58%,2.5,52%,48%
Illinois,Milford Twp Hsd 233,N/A,N/A,N/A,2.5,61%,39%,2.5,52%,48%
Illinois,Minooka Chsd 111,11,13%,10.40%,2.7,67%,33%,2.7,64%,36%
Illinois,Moline Usd 40,9.1,11%,8.50%,2.6,58%,42%,2.5,53%,47%
Illinois,Momence Cusd 1,19,36%,13.30%,2.3,37%,63%,2.3,42%,58%
Illinois,Monmouth-Roseville Cusd 238,N/A,N/A,N/A,2.5,52%,48%,2.5,49%,51%
Illinois,Monroe/Randolph Roe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Monticello Cusd 25,27.7,29%,27.30%,2.7,66%,34%,2.8,65%,35%
Illinois,Morris Chsd 101,15.5,21%,13.50%,2.5,50%,50%,2.6,54%,46%
Illinois,Morrison Cusd 6,8.5,13%,7.10%,2.6,61%,39%,2.7,59%,41%
Illinois,Morrisonville Cusd 1,N/A,N/A,N/A,2.2,44%,56%,2.4,52%,48%
Illinois,Morton Cusd 709,14.3,15%,14.10%,2.9,76%,24%,3,80%,20%
Illinois,Mount Olive Cusd 5,N/A,N/A,N/A,2.5,50%,50%,2.5,50%,50%
Illinois,Mt Pulaski Cusd 23,N/A,N/A,N/A,2.4,47%,53%,2.4,43%,57%
Illinois,Mt Vernon Twp Hsd 201,11.8,21%,8.60%,2.3,45%,55%,2.4,46%,54%
Illinois,Mt Zion Cusd 3,16.8,20%,15.70%,2.8,72%,28%,2.8,69%,31%
Illinois,Mulberry Grove Cusd 1,N/A,N/A,N/A,2.5,56%,44%,2.3,46%,54%
Illinois,Mundelein Cons Hsd 120,36,42%,34.10%,2.5,53%,47%,2.5,52%,48%
Illinois,Murphysboro Cusd 186,5.7,10%,4.20%,2.2,33%,67%,2.3,36%,64%
Illinois,Naperville Cusd 203,36.5,41%,35.10%,3,78%,22%,3,77%,23%
Illinois,Nashville Chsd 99,N/A,N/A,N/A,2.6,61%,39%,2.5,54%,46%
Illinois,Neoga Cusd 3,N/A,N/A,N/A,2.8,76%,24%,2.6,59%,41%
Illinois,New Athens Cusd 60,N/A,N/A,N/A,2.3,39%,61%,2.5,56%,44%
Illinois,New Berlin Cusd 16,N/A,N/A,N/A,2.4,48%,52%,2.4,50%,50%
Illinois,New Trier Twp Hsd 203,50.8,53%,50.20%,3.3,90%,10%,3.2,88%,12%
Illinois,Newark Chsd 18,N/A,N/A,N/A,2.8,70%,30%,2.6,59%,41%
Illinois,Niles Twp Chsd 219,29.8,32%,29.00%,2.7,63%,37%,2.6,59%,41%
Illinois,Nokomis Cusd 22,N/A,N/A,N/A,2.5,50%,50%,2.5,51%,49%
Illinois,Norris City-Omaha-Enfield Cusd 3,N/A,N/A,N/A,2.4,48%,52%,2.6,56%,44%
Illinois,North Boone Cusd 200,18.2,35%,12.70%,2.3,32%,68%,2.4,43%,57%
Illinois,North Chicago Sd 187,9,24%,4.20%,1.9,21%,79%,1.8,13%,87%
Illinois,North Clay Cusd 25,N/A,N/A,N/A,2.6,64%,36%,2.6,57%,43%
Illinois,North Greene Cusd 3,N/A,N/A,N/A,1.9,18%,82%,2.1,34%,66%
Illinois,North Mac Cusd 34,N/A,N/A,N/A,2.3,39%,61%,2.5,50%,50%
Illinois,North Wayne Cusd 200,N/A,N/A,N/A,2.5,54%,46%,2.7,57%,43%
Illinois,Northern Suburban Spec Ed Dist,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Northfield Twp Hsd 225,47.8,51%,46.90%,3.1,85%,15%,3,79%,21%
Illinois,Northwestern Cusd 2,N/A,N/A,N/A,2.5,60%,40%,2.4,47%,53%
Illinois,Nw Suburban Spec Educ Org,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,O Fallon Twp Hsd 203,2.8,3%,2.60%,2.9,74%,26%,2.9,74%,26%
Illinois,Oak Lawn Chsd 229,13.7,22%,10.80%,2.5,50%,50%,2.5,48%,52%
Illinois,Oak Park - River Forest Sd 200,47.2,50%,46.20%,2.8,68%,32%,2.9,72%,28%
Illinois,Oakland Cusd 5,N/A,N/A,N/A,2.3,50%,50%,2.4,44%,56%
Illinois,Oakwood Cusd 76,N/A,N/A,N/A,2.3,40%,60%,2.4,44%,56%
Illinois,Oblong Cusd 4,N/A,N/A,N/A,2.4,41%,59%,2.5,52%,48%
Illinois,Odin Psd 722,N/A,N/A,N/A,2.4,45%,55%,2.5,50%,50%
Illinois,Okaw Valley Cusd 302,N/A,N/A,N/A,2.4,44%,56%,2.6,60%,40%
Illinois,Olympia Cusd 16,24.8,40%,19.70%,2.7,62%,38%,2.7,63%,37%
Illinois,Orangeville Cusd 203,N/A,N/A,N/A,2.6,59%,41%,2.6,55%,45%
Illinois,Oregon Cusd 220,17.1,31%,12.50%,2.5,47%,53%,2.6,53%,47%
Illinois,Orion Cusd 223,N/A,N/A,N/A,2.8,71%,29%,2.7,61%,39%
Illinois,Oswego Cusd 308,19.5,24%,18.10%,2.5,53%,47%,2.5,55%,45%
Illinois,Ottawa Twp Hsd 140,6.8,8%,6.60%,2.4,44%,56%,2.5,52%,48%
Illinois,Palestine Cusd 3,N/A,N/A,N/A,2.6,58%,42%,2.6,58%,42%
Illinois,Pana Cusd 8,N/A,N/A,N/A,2.5,51%,49%,2.5,52%,48%
Illinois,Panhandle Cusd 2,N/A,N/A,N/A,2.6,57%,43%,2.7,61%,39%
Illinois,Paris Cooperative High School,8.3,17%,5.30%,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Patoka Cusd 100,N/A,N/A,N/A,2.3,33%,67%,2.5,50%,50%
Illinois,Paw Paw Cusd 271,N/A,N/A,N/A,2.6,63%,37%,2.5,50%,50%
Illinois,Pawnee Cusd 11,N/A,N/A,N/A,2.3,39%,61%,2.6,61%,39%
Illinois,Paxton-Buckley-Loda Cud 10,10.6,20%,7.50%,2.5,55%,45%,2.4,46%,54%
Illinois,Payson Cusd 1,N/A,N/A,N/A,2.7,70%,30%,2.5,60%,40%
Illinois,Pearl City Cusd 200,N/A,N/A,N/A,2.6,65%,35%,2.7,65%,35%
Illinois,Pecatonica Cusd 321,N/A,N/A,N/A,2.4,45%,55%,2.5,51%,49%
Illinois,Pekin Csd 303,14.8,19%,13.40%,2.5,53%,47%,2.5,51%,49%
Illinois,Peoria Heights Cusd 325,N/A,N/A,N/A,2.2,24%,76%,2.5,53%,47%
Illinois,Peoria Sd 150,10.7,16%,8.80%,2.1,26%,74%,2.2,31%,69%
Illinois,Peotone Cusd 207U,14.1,19%,12.40%,2.6,58%,42%,2.7,62%,38%
Illinois,Pikeland Cusd 10,N/A,N/A,N/A,2.5,52%,48%,2.6,54%,46%
Illinois,Pinckneyville Chsd 101,N/A,N/A,N/A,2.4,39%,61%,2.4,45%,55%
Illinois,Plainfield Sd 202,22.3,29%,20.00%,2.6,54%,46%,2.5,49%,51%
Illinois,Plano Cusd 88,7.9,13%,6.30%,2.3,38%,62%,2.4,45%,55%
Illinois,Pleasant Hill Cusd 3,N/A,N/A,N/A,2.5,56%,44%,2.7,65%,35%
Illinois,Pleasant Plains Cusd 8,22.6,28%,20.90%,2.6,62%,38%,2.7,70%,30%
Illinois,Polo Cusd 222,7.1,23%,1.90%,2.4,50%,50%,2.5,56%,44%
Illinois,Pontiac Twp Hsd 90,4.3,6%,3.70%,2.4,40%,60%,2.4,46%,54%
Illinois,Pope Co Cud 1,N/A,N/A,N/A,2.3,33%,67%,2.4,44%,56%
Illinois,Porta Cusd 202,14.9,18%,13.90%,2.5,54%,46%,2.6,56%,44%
Illinois,Prairie Central Cusd 8,N/A,N/A,N/A,2.6,59%,41%,2.5,52%,48%
Illinois,Princeton Hsd 500,N/A,N/A,N/A,2.7,67%,33%,2.6,64%,36%
Illinois,Princeville Cusd 326,N/A,N/A,N/A,2.6,61%,39%,2.8,63%,37%
Illinois,Prophetstown-Lyndon-Tampico Cusd3,7,19%,3.10%,2.3,42%,58%,2.5,46%,54%
Illinois,Proviso Twp Hsd 209,4.8,8%,3.90%,2.2,39%,61%,2.2,35%,65%
Illinois,Putnam County Cusd 535,N/A,N/A,N/A,2.4,48%,52%,2.4,48%,52%
Illinois,Quincy Sd 172,13.1,16%,12.20%,2.4,49%,51%,2.5,50%,50%
Illinois,R O W V A Cusd 208,N/A,N/A,N/A,2.7,70%,30%,2.7,68%,32%
Illinois,Ramsey Cusd 204,N/A,N/A,N/A,2.3,38%,62%,2.3,31%,69%
Illinois,Rantoul Township Hsd 193,3.1,8%,1.60%,2.1,27%,73%,2.1,29%,71%
Illinois,Reavis Twp Hsd 220,15,20%,13.30%,2.5,55%,45%,2.4,48%,52%
Illinois,Red Bud Cusd 132,N/A,N/A,N/A,2.5,55%,45%,2.5,54%,46%
Illinois,Red Hill Cusd 10,N/A,N/A,N/A,2.5,52%,48%,2.5,50%,50%
Illinois,Reed Custer Cusd 255U,7,9%,6.30%,2.5,52%,48%,2.7,66%,34%
Illinois,Region 05 North Cook Isc 1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Rich Twp Hsd 227,11.6,18%,9.30%,2.2,31%,69%,2.2,30%,70%
Illinois,Richmond-Burton Chsd 157,27,34%,24.50%,2.7,64%,36%,2.7,65%,35%
Illinois,Ridgeview Cusd 19,N/A,N/A,N/A,2.6,49%,51%,2.5,55%,45%
Illinois,Ridgewood Chsd 234,27.9,37%,24.90%,2.5,54%,46%,2.6,54%,46%
Illinois,River Bend Cusd 2,N/A,N/A,N/A,2.4,49%,51%,2.5,54%,46%
Illinois,River Ridge Cusd 210,12.2,26%,7.70%,2.9,79%,21%,3,76%,24%
Illinois,Riverdale Cusd 100,N/A,N/A,N/A,2.6,57%,43%,2.6,58%,42%
Illinois,Riverside-Brookfield Twp Sd 208,50.9,63%,46.70%,2.8,69%,31%,2.8,67%,33%
Illinois,Riverton Cusd 14,N/A,N/A,N/A,2.6,58%,42%,2.4,48%,52%
Illinois,Roanoke Benson Cusd 60,N/A,N/A,N/A,2.6,51%,49%,2.5,54%,46%
Illinois,Robinson Cusd 2,N/A,N/A,N/A,2.6,59%,41%,2.7,64%,36%
Illinois,Rochelle Twp Hsd 212,13.9,18%,12.40%,2.4,46%,54%,2.5,49%,51%
Illinois,Rochester Cusd 3A,N/A,N/A,N/A,2.7,61%,39%,2.8,65%,35%
Illinois,Rock Falls Twp Hsd 301,5.3,8%,4.50%,2.4,48%,52%,2.4,46%,54%
Illinois,Rock Island Sd 41,4.5,7%,3.80%,2.1,31%,69%,2.2,39%,61%
Illinois,Rockford Sd 205,17.9,34%,12.50%,2.2,32%,68%,2.3,38%,62%
Illinois,Rockridge Cusd 300,N/A,N/A,N/A,2.6,62%,38%,2.6,58%,42%
Illinois,Round Lake Cusd 116,22.4,27%,20.70%,2.3,36%,64%,2.2,31%,69%
Illinois,Roxana Cusd 1,N/A,N/A,N/A,2.2,30%,70%,2.3,40%,60%
Illinois,Salem Chsd 600,N/A,N/A,N/A,2.4,40%,60%,2.4,44%,56%
Illinois,Sandoval Cusd 501,N/A,N/A,N/A,2.1,25%,75%,2.2,34%,66%
Illinois,Sandwich Cusd 430,8,13%,6.40%,2.7,63%,37%,2.6,56%,44%
Illinois,Sangamon Roe,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Sangamon Valley Cusd 9,N/A,N/A,N/A,2.3,36%,64%,2.5,52%,48%
Illinois,Scales Mound Cusd 211,N/A,N/A,N/A,2.6,57%,43%,2.6,57%,43%
Illinois,Schuyler-Industry Cusd 5,N/A,N/A,N/A,2.3,44%,56%,2.4,46%,54%
Illinois,Scott-Morgan Cusd 2,N/A,N/A,N/A,2.2,35%,65%,2.1,24%,76%
Illinois,Seneca Twp Hsd 160,6,12%,4.00%,2.4,50%,50%,2.4,52%,48%
Illinois,Serena Cusd 2,N/A,N/A,N/A,2.5,50%,50%,2.5,55%,45%
Illinois,Sesser-Valier Cusd 196,N/A,N/A,N/A,2.2,36%,64%,2.2,36%,64%
Illinois,Shawnee Cusd 84,N/A,N/A,N/A,2.5,60%,40%,2.4,45%,55%
Illinois,Shelbyville Cusd 4,N/A,N/A,N/A,2.7,65%,35%,2.7,64%,36%
Illinois,Sherrard Cusd 200,N/A,N/A,N/A,2.5,55%,45%,2.6,61%,39%
Illinois,Shiloh Cusd 1,N/A,N/A,N/A,2.2,36%,64%,2.5,47%,53%
Illinois,Somonauk Cusd 432,4.9,16%,1.30%,2.6,63%,37%,2.6,56%,44%
Illinois,South Central Cud 401,N/A,N/A,N/A,2.4,43%,57%,2.4,50%,50%
Illinois,South Fork Sd 14,N/A,N/A,N/A,1.9,8%,92%,2.4,50%,50%
Illinois,Southeastern Cusd 337,N/A,N/A,N/A,2.3,45%,55%,2.5,55%,45%
Illinois,Southwest Cook Coop Spec Ed,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Southwestern Cusd 9,N/A,N/A,N/A,2.5,54%,46%,2.5,56%,44%
Illinois,Sparta Cusd 140,4.9,16%,1.20%,2.2,37%,63%,2.4,53%,47%
Illinois,Spec Ed Dist Of Mchenry Co-Sedom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Spec Educ Dist Lake County/Sedol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Speed Seja #802,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Spoon River Valley Cusd 4,N/A,N/A,N/A,2.4,49%,51%,2.5,54%,46%
Illinois,Springfield Sd 186,14.4,20%,12.60%,2.3,36%,64%,2.4,42%,58%
Illinois,St Anne Chsd 302,N/A,N/A,N/A,2.3,35%,65%,2.3,44%,56%
Illinois,St Charles Cusd 303,39.8,50%,36.40%,2.9,79%,21%,2.9,72%,28%
Illinois,St Elmo Cusd 202,N/A,N/A,N/A,2.4,41%,59%,2.5,56%,44%
Illinois,St Joseph Ogden Chsd 305,9,10%,8.50%,2.8,64%,36%,2.8,67%,33%
Illinois,Stark County Cusd 100,N/A,N/A,N/A,2.5,56%,44%,2.6,53%,47%
Illinois,Staunton Cusd 6,N/A,N/A,N/A,2.7,65%,35%,2.6,56%,44%
Illinois,Steeleville Cusd 138,N/A,N/A,N/A,2.5,50%,50%,2.5,54%,46%
Illinois,Sterling Cusd 5,22.4,32%,19.30%,2.6,59%,41%,2.5,55%,45%
Illinois,Stewardson-Strasburg Cud 5A,N/A,N/A,N/A,2.4,50%,50%,2.4,44%,56%
Illinois,Stockton Cusd 206,N/A,N/A,N/A,2.7,73%,27%,2.8,70%,30%
Illinois,Streator Twp Hsd 40,3.1,8%,1.40%,2.3,39%,61%,2.4,44%,56%
Illinois,Sullivan Cusd 300,N/A,N/A,N/A,2.5,50%,50%,2.6,57%,43%
Illinois,Sycamore Cusd 427,15.6,17%,15.30%,2.6,60%,40%,2.7,61%,39%
Illinois,Taylorville Cusd 3,5.9,9%,5.00%,2.6,59%,41%,2.5,52%,48%
Illinois,Tazewell-Mason Cntys Sp Ed Assoc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Teutopolis Cusd 50,N/A,N/A,N/A,2.8,72%,28%,2.6,53%,47%
Illinois,Thompsonville Cusd 174,N/A,N/A,N/A,2.3,46%,54%,2.3,36%,64%
Illinois,Thornton Fractional Twp Hsd 215,6.9,12%,5.30%,2,25%,75%,2.1,28%,72%
Illinois,Thornton Twp Hsd 205,6.6,17%,3.30%,2,20%,80%,2.1,25%,75%
Illinois,Tolono Cusd 7,N/A,N/A,N/A,2.4,43%,57%,2.5,54%,46%
Illinois,Township High School District 211,35.3,39%,34.00%,2.8,68%,32%,2.6,59%,41%
Illinois,Township High School District 214,47.6,54%,45.50%,2.9,74%,26%,2.7,64%,36%
Illinois,Tremont Cusd 702,26.7,36%,23.60%,2.8,68%,32%,2.9,73%,27%
Illinois,Tri City Cusd 1,N/A,N/A,N/A,2.5,53%,47%,2.4,50%,50%
Illinois,Tri Point Cusd 6-J,N/A,N/A,N/A,2.6,56%,44%,2.8,61%,39%
Illinois,Tri Valley Cusd 3,28.1,33%,26.40%,2.9,75%,25%,2.9,72%,28%
Illinois,Triad Cusd 2,12,14%,11.40%,2.7,64%,36%,2.7,62%,38%
Illinois,Trico Cusd 176,N/A,N/A,N/A,2.5,53%,47%,2.5,49%,51%
Illinois,Triopia Cusd 27,N/A,N/A,N/A,2.8,75%,25%,2.6,54%,46%
Illinois,Tuscola Cusd 301,N/A,N/A,N/A,2.6,60%,40%,2.7,69%,31%
Illinois,Twp Hsd 113,59.7,64%,58.30%,3.1,85%,15%,3.1,83%,17%
Illinois,United Cusd 304,N/A,N/A,N/A,2.6,55%,45%,2.6,62%,38%
Illinois,United Twp Hsd 30,5.9,8%,5.20%,2.3,37%,63%,2.2,37%,63%
Illinois,University Of Ill Lab School,62.7,64%,62.30%,N/A,N/A,N/A,N/A,N/A,N/A
Illinois,Urbana Sd 116,18.4,21%,17.70%,2.4,44%,56%,2.4,44%,56%
Illinois,Valley View Cusd 365U,11.9,15%,10.80%,2.4,42%,58%,2.4,43%,57%
Illinois,Valmeyer Cusd 3,N/A,N/A,N/A,2.7,68%,32%,2.6,45%,55%
Illinois,Vandalia Cusd 203,N/A,N/A,N/A,2.4,46%,54%,2.5,51%,49%
Illinois,Vienna Hsd 133,N/A,N/A,N/A,2.3,42%,58%,2.4,47%,53%
