state,name,college_readiness_score,tested_ap,passed_ap,math_score,math_proficient,math_not_proficient,reading_score,reading_proficient,reading_not_proficient
Alabama,Limestone County,10.8,25%,6.20%,2.9,81%,19%,3,81%,19%
Alabama,Linden City,N/A,N/A,N/A,2.8,77%,23%,2.6,55%,45%
Alabama,Lowndes County,N/A,N/A,N/A,2.8,80%,20%,2.8,69%,31%
Alabama,Macon County,1.9,6%,0.50%,2.8,70%,30%,2.8,76%,24%
Alabama,Madison City,32.3,44%,28.60%,3.4,96%,4%,3.4,93%,7%
Alabama,Madison County,21.4,37%,16.30%,3.1,89%,11%,3.1,88%,12%
Alabama,Marengo County,N/A,N/A,N/A,3,89%,11%,2.8,74%,26%
Alabama,Marion County,4.4,18%,0.00%,3,91%,9%,3,85%,15%
Alabama,Marshall County,11.1,35%,3.10%,3.1,91%,9%,3,82%,18%
Alabama,Midfield City,3.2,13%,0.00%,2.7,67%,33%,2.8,71%,29%
Alabama,Mobile County Public Schools,8.4,19%,5.00%,3,85%,15%,3,83%,17%
Alabama,Monroe County,10.1,26%,4.90%,3,88%,12%,2.9,80%,20%
Alabama,Montgomery County,39.7,57%,33.90%,3.1,86%,14%,3.1,87%,13%
Alabama,Morgan County,6.1,8%,5.50%,3,80%,20%,3,83%,17%
Alabama,Mountain Brook City,58.2,60%,57.60%,3.7,98%,2%,3.6,99%,1%
Alabama,Muscle Shoals City,28.2,40%,24.30%,3.2,90%,10%,3.1,89%,11%
Alabama,Oneonta City,21,30%,18.10%,3.1,92%,8%,3.1,87%,13%
Alabama,Opelika City,4.7,6%,4.30%,3,87%,13%,2.9,78%,22%
Alabama,Opp City,N/A,N/A,N/A,3.1,90%,10%,2.9,76%,24%
Alabama,Oxford City,19.2,50%,8.90%,3.1,91%,9%,3,83%,17%
Alabama,Ozark City,N/A,N/A,N/A,3.1,92%,8%,3.1,87%,13%
Alabama,Pell City,12.6,26%,8.10%,3,89%,11%,3,83%,17%
Alabama,Perry County,N/A,N/A,N/A,2.8,83%,17%,3,92%,8%
Alabama,Phenix City,N/A,N/A,N/A,2.8,78%,22%,2.8,75%,25%
Alabama,Pickens County,6.9,24%,1.10%,2.9,87%,13%,2.8,75%,25%
Alabama,Piedmont City,14.2,35%,7.20%,3.2,98%,2%,3.2,98%,2%
Alabama,Pike County,N/A,N/A,N/A,3,82%,18%,2.8,69%,31%
Alabama,Randolph County,N/A,N/A,N/A,2.9,76%,24%,3,79%,21%
Alabama,Roanoke City,7.5,21%,2.90%,3.2,86%,14%,2.9,79%,21%
Alabama,Russell County,N/A,N/A,N/A,2.8,71%,29%,2.8,71%,29%
Alabama,Russellville City,N/A,N/A,N/A,3.2,93%,7%,3,85%,15%
Alabama,Saraland City,24.4,51%,15.40%,3.1,88%,12%,3.1,86%,14%
Alabama,Scottsboro City,18,23%,16.30%,3.1,91%,9%,3.1,85%,15%
Alabama,Selma City,2.9,11%,0.00%,2.8,75%,25%,2.8,77%,23%
Alabama,Sheffield City,8.6,30%,1.30%,3,82%,18%,2.8,69%,31%
Alabama,Shelby County,22,38%,16.60%,3.1,87%,13%,3.1,87%,13%
Alabama,St Clair County,N/A,N/A,N/A,3,87%,13%,2.9,80%,20%
Alabama,Sylacauga City,N/A,N/A,N/A,2.9,82%,18%,2.9,73%,27%
Alabama,Talladega City,N/A,N/A,N/A,2.6,60%,40%,2.8,70%,30%
Alabama,Talladega County,11.8,23%,8.00%,3,83%,17%,2.8,74%,26%
Alabama,Tallapoosa County,N/A,N/A,N/A,3,83%,17%,2.9,80%,20%
Alabama,Tallassee City,12.7,28%,7.50%,3,79%,21%,3,80%,20%
Alabama,Tarrant City,N/A,N/A,N/A,2.7,63%,37%,2.7,62%,38%
Alabama,Thomasville City,9.1,16%,6.90%,3.1,93%,7%,3,82%,18%
Alabama,Troy City,8.4,15%,6.30%,3,85%,15%,3.1,85%,15%
Alabama,Trussville City,31.3,55%,23.60%,3.1,90%,10%,3.2,93%,7%
Alabama,Tuscaloosa City,16.8,32%,11.70%,2.7,62%,38%,2.8,64%,36%
Alabama,Tuscaloosa County,13.1,24%,9.50%,3,84%,16%,3,79%,21%
Alabama,Tuscumbia City,N/A,N/A,N/A,2.9,85%,15%,3.1,88%,12%
Alabama,Vestavia Hills City,30.7,33%,29.90%,3.5,99%,1%,3.5,98%,2%
Alabama,Walker County,5.3,21%,0.00%,2.9,80%,20%,3,79%,21%
Alabama,Washington County,N/A,N/A,N/A,2.9,79%,21%,3,81%,19%
Alabama,Wilcox County,N/A,N/A,N/A,3.2,93%,7%,3.2,89%,11%
Alabama,Winfield City,23.4,56%,12.70%,3.3,92%,8%,3.3,95%,5%
Alabama,Winston County,N/A,N/A,N/A,3,83%,17%,3.1,87%,13%
Alaska,Anchorage School District,21.6,27%,19.80%,2.6,58%,42%,2.8,76%,24%
Alaska,Annette Island School District,N/A,N/A,N/A,2.4,38%,62%,2.8,78%,22%
Alaska,Bering Strait School District,N/A,N/A,N/A,2.3,25%,75%,2.3,31%,69%
Alaska,Copper River School District,N/A,N/A,N/A,2.7,74%,26%,N/A,N/A,N/A
Alaska,Cordova City School District,34.8,48%,30.40%,2.8,84%,16%,N/A,N/A,N/A
Alaska,Craig City School District,N/A,N/A,N/A,2.7,68%,32%,2.9,86%,14%
Alaska,Delta/Greely School District,N/A,N/A,N/A,2.6,62%,38%,2.9,88%,12%
Alaska,Dillingham City School District,N/A,N/A,N/A,2.5,52%,48%,2.6,55%,45%
Alaska,Fairbanks North Star Borough School District,27.2,34%,25.00%,2.6,57%,43%,2.8,83%,17%
Alaska,Galena City School District,N/A,N/A,N/A,2.5,49%,51%,2.8,76%,24%
Alaska,Haines Borough School District,N/A,N/A,N/A,2.8,77%,23%,N/A,N/A,N/A
Alaska,Iditarod Area School District,N/A,N/A,N/A,2.4,40%,60%,N/A,N/A,N/A
Alaska,Juneau Borough School District,20.7,26%,18.80%,2.5,52%,48%,2.8,83%,17%
Alaska,Kashunamiut School District,N/A,N/A,N/A,2.2,24%,76%,2.3,28%,72%
Alaska,Kenai Peninsula Borough School District,11.7,21%,8.40%,2.7,67%,33%,2.9,90%,10%
Alaska,Ketchikan Gateway Borough School District,13.8,20%,11.80%,2.4,43%,57%,2.8,82%,18%
Alaska,Kodiak Island Borough School District,17.9,34%,12.40%,2.7,69%,31%,2.9,87%,13%
Alaska,Lower Kuskokwim School District,6.4,20%,1.70%,2.4,35%,65%,2.5,52%,48%
Alaska,Lower Yukon School District,N/A,N/A,N/A,2.3,28%,72%,2.3,29%,71%
Alaska,Matanuska-Susitna Borough School District,17.1,23%,15.00%,2.6,60%,40%,2.8,84%,16%
Alaska,Mount Edgecumbe High School Agency,N/A,N/A,N/A,2.7,68%,32%,2.8,80%,20%
Alaska,Nenana City School District,N/A,N/A,N/A,2.5,45%,55%,2.7,72%,28%
Alaska,Nome Public Schools,N/A,N/A,N/A,2.5,54%,46%,2.7,73%,27%
Alaska,North Slope Borough School District,N/A,N/A,N/A,2.5,53%,47%,2.5,51%,49%
Alaska,Northwest Arctic Borough School District,N/A,N/A,N/A,2.4,42%,58%,2.6,60%,40%
Alaska,Petersburg City School District,17.6,37%,11.10%,2.8,79%,21%,N/A,N/A,N/A
Alaska,Sitka School District,15.5,22%,13.40%,2.7,65%,35%,2.9,86%,14%
Alaska,Southwest Region School District,N/A,N/A,N/A,2.3,29%,71%,2.5,47%,53%
Alaska,Unalaska City School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alaska,Valdez City School District,N/A,N/A,N/A,2.7,66%,34%,2.9,90%,10%
Alaska,Wrangell Public School District,N/A,N/A,N/A,2.5,54%,46%,2.8,83%,17%
Alaska,Yukon/Koyukuk School District,N/A,N/A,N/A,2.5,50%,50%,2.7,69%,31%
Arizona,Academy of Building Industries Inc.,N/A,N/A,N/A,1.4,16%,84%,2.5,56%,44%
Arizona,Academy of Tucson Inc.,23.3,52%,13.80%,2.8,78%,22%,3,93%,7%
Arizona,Academy With Community Partners Inc,N/A,N/A,N/A,1.8,28%,72%,2.7,67%,33%
Arizona,Accelerated Learning Center Inc.,N/A,N/A,N/A,1.8,10%,90%,2.6,64%,36%
Arizona,Agua Fria Union High School District,13.4,26%,9.20%,2.6,65%,35%,2.9,87%,13%
Arizona,Aibt Non-Profit Charter High School - Phoenix,N/A,N/A,N/A,1.6,20%,80%,2.6,61%,39%
Arizona,Ajo Unified District,N/A,N/A,N/A,2.1,50%,50%,2.5,53%,47%
Arizona,American Charter Schools Foundation D.B.A. Alta Vista High S,N/A,N/A,N/A,2,36%,64%,2.7,74%,26%
Arizona,American Charter Schools Foundation D.B.A. Apache Trail High,N/A,N/A,N/A,1.8,33%,67%,2.5,59%,41%
Arizona,American Charter Schools Foundation D.B.A. Crestview College,N/A,N/A,N/A,2,41%,59%,2.8,78%,22%
Arizona,American Charter Schools Foundation D.B.A. Desert Hills High,N/A,N/A,N/A,1.9,34%,66%,2.6,69%,31%
Arizona,American Charter Schools Foundation D.B.A. Estrella High Sch,N/A,N/A,N/A,1.6,22%,78%,2.4,49%,51%
Arizona,American Charter Schools Foundation D.B.A. Peoria Accelerate,N/A,N/A,N/A,1.5,19%,81%,2.6,63%,37%
Arizona,American Charter Schools Foundation D.B.A. South Pointe High,N/A,N/A,N/A,1.6,23%,77%,2.6,60%,40%
Arizona,American Charter Schools Foundation D.B.A. South Ridge High,20.5,25%,19.20%,2.6,66%,34%,3,89%,11%
Arizona,American Charter Schools Foundation D.B.A. Sun Valley High S,N/A,N/A,N/A,1.5,11%,89%,2.4,45%,55%
